1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000123_gene4898,AZRU01000123_gene4898,annotation&nbsp;not&nbsp;available,81.5
1437882.AZRU01000212_gene1003,AZRU01000212_gene1003,annotation&nbsp;not&nbsp;available,81.5
1437882.AZRU01000002_gene2280,AZRU01000002_gene2280,annotation&nbsp;not&nbsp;available,81.5
1437882.AZRU01000024_gene5759,AZRU01000024_gene5759,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000049_gene5238,AZRU01000049_gene5238,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000025_gene5867,AZRU01000025_gene5867,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000008_gene2842,AZRU01000008_gene2842,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000019_gene6057,AZRU01000019_gene6057,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000020_gene6159,AZRU01000020_gene6159,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000015_gene3372,AZRU01000015_gene3372,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000007_gene2999,AZRU01000007_gene2999,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000023_gene5674,AZRU01000023_gene5674,annotation&nbsp;not&nbsp;available,81.4
1437882.AZRU01000021_gene6192,waaF,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000006_gene1473,AZRU01000006_gene1473,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000032_gene7,AZRU01000032_gene7,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000039_gene4645,AZRU01000039_gene4645,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000017_gene6376,AZRU01000017_gene6376,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000093_gene1277,AZRU01000093_gene1277,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000095_gene1240,AZRU01000095_gene1240,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000011_gene3662,AZRU01000011_gene3662,annotation&nbsp;not&nbsp;available,81.3
1437882.AZRU01000086_gene5516,xerD,annotation&nbsp;not&nbsp;available,81.2
1437882.AZRU01000050_gene5332,gatA,Glutamyl-tRNA(Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;A,81.2
1437882.AZRU01000010_gene566,purC,annotation&nbsp;not&nbsp;available,81.2
1437882.AZRU01000060_gene4114,ahpC,annotation&nbsp;not&nbsp;available,81.2
1437882.AZRU01000021_gene6267,AZRU01000021_gene6267,annotation&nbsp;not&nbsp;available,81.2
1437882.AZRU01000013_gene6989,AZRU01000013_gene6989,Protoheme&nbsp;IX&nbsp;farnesyltransferase,81.2
1437882.AZRU01000009_gene916,AZRU01000009_gene916,annotation&nbsp;not&nbsp;available,81.1
1437882.AZRU01000027_gene803,AZRU01000027_gene803,annotation&nbsp;not&nbsp;available,81.1
1437882.AZRU01000126_gene5406,AZRU01000126_gene5406,annotation&nbsp;not&nbsp;available,81.1
1437882.AZRU01000100_gene4283,uvrA,UvrABC&nbsp;system&nbsp;protein&nbsp;A,81.1
1437882.AZRU01000043_gene4852,cyoD,annotation&nbsp;not&nbsp;available,81.1
1437882.AZRU01000027_gene776,AZRU01000027_gene776,annotation&nbsp;not&nbsp;available,81.1
1437882.AZRU01000069_gene2799,AZRU01000069_gene2799,annotation&nbsp;not&nbsp;available,81.0
1437882.AZRU01000003_gene1722,AZRU01000003_gene1722,annotation&nbsp;not&nbsp;available,81.0
1437882.AZRU01000039_gene4660,AZRU01000039_gene4660,annotation&nbsp;not&nbsp;available,81.0
1437882.AZRU01000170_gene1185,AZRU01000170_gene1185,annotation&nbsp;not&nbsp;available,81.0
1437882.AZRU01000040_gene4674,sdhD,Succinate&nbsp;dehydrogenase&nbsp;hydrophobic&nbsp;membrane&nbsp;anchor&nbsp;subunit,81.0
1437882.AZRU01000014_gene3170,AZRU01000014_gene3170,annotation&nbsp;not&nbsp;available,80.9
1437882.AZRU01000034_gene431,AZRU01000034_gene431,annotation&nbsp;not&nbsp;available,80.9
1437882.AZRU01000006_gene1467,AZRU01000006_gene1467,annotation&nbsp;not&nbsp;available,80.9
1437882.AZRU01000100_gene4286,rplQ,annotation&nbsp;not&nbsp;available,80.9
1437882.AZRU01000211_gene2680,AZRU01000211_gene2680,annotation&nbsp;not&nbsp;available,80.9
1437882.AZRU01000066_gene6733,AZRU01000066_gene6733,annotation&nbsp;not&nbsp;available,80.9
1437882.AZRU01000053_gene3676,AZRU01000053_gene3676,annotation&nbsp;not&nbsp;available,80.8
1437882.AZRU01000003_gene1751,AZRU01000003_gene1751,annotation&nbsp;not&nbsp;available,80.8
1437882.AZRU01000038_gene5470,AZRU01000038_gene5470,annotation&nbsp;not&nbsp;available,80.8
1437882.AZRU01000039_gene4644,AZRU01000039_gene4644,annotation&nbsp;not&nbsp;available,80.8
1437882.AZRU01000211_gene2675,AZRU01000211_gene2675,annotation&nbsp;not&nbsp;available,80.8
1437882.AZRU01000045_gene4805,folD,Bifunctional&nbsp;protein&nbsp;FolD,80.8
1437882.AZRU01000043_gene4817,arnA,Bifunctional&nbsp;polymyxin&nbsp;resistance&nbsp;protein&nbsp;ArnA,80.8
1437882.AZRU01000030_gene134,AZRU01000030_gene134,annotation&nbsp;not&nbsp;available,80.8
1437882.AZRU01000015_gene3377,AZRU01000015_gene3377,annotation&nbsp;not&nbsp;available,80.8
1437882.AZRU01000024_gene5821,AZRU01000024_gene5821,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000003_gene1657,AZRU01000003_gene1657,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000041_gene4512,AZRU01000041_gene4512,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000005_gene1404,AZRU01000005_gene1404,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000010_gene564,AZRU01000010_gene564,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000004_gene1844,AZRU01000004_gene1844,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000009_gene956,AZRU01000009_gene956,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000011_gene3617,AZRU01000011_gene3617,annotation&nbsp;not&nbsp;available,80.7
1437882.AZRU01000019_gene6100,AZRU01000019_gene6100,annotation&nbsp;not&nbsp;available,80.6
1437882.AZRU01000019_gene6023,AZRU01000019_gene6023,annotation&nbsp;not&nbsp;available,80.6
1437882.AZRU01000094_gene1175,AZRU01000094_gene1175,annotation&nbsp;not&nbsp;available,80.6
1437882.AZRU01000005_gene1419,AZRU01000005_gene1419,annotation&nbsp;not&nbsp;available,80.6
1437882.AZRU01000073_gene4359,AZRU01000073_gene4359,annotation&nbsp;not&nbsp;available,80.6
1437882.AZRU01000016_gene3318,recR,Recombination&nbsp;protein&nbsp;RecR,80.6
1437882.AZRU01000038_gene5486,AZRU01000038_gene5486,annotation&nbsp;not&nbsp;available,80.6
1437882.AZRU01000097_gene1099,AZRU01000097_gene1099,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000130_gene6804,AZRU01000130_gene6804,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000060_gene4115,AZRU01000060_gene4115,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000030_gene146,AZRU01000030_gene146,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000078_gene4032,AZRU01000078_gene4032,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000002_gene2258,AZRU01000002_gene2258,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000064_gene7072,AZRU01000064_gene7072,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000042_gene4571,AZRU01000042_gene4571,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000004_gene1944,AZRU01000004_gene1944,annotation&nbsp;not&nbsp;available,80.5
1437882.AZRU01000059_gene4122,tatC,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatC,80.4
1437882.AZRU01000030_gene128,AZRU01000030_gene128,Flagellar&nbsp;basal&nbsp;body&nbsp;rod&nbsp;protein&nbsp;FlgB,80.4
1437882.AZRU01000011_gene3597,AZRU01000011_gene3597,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000035_gene323,AZRU01000035_gene323,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000010_gene622,AZRU01000010_gene622,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000056_gene3794,AZRU01000056_gene3794,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000001_gene2215,AZRU01000001_gene2215,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000211_gene2637,AZRU01000211_gene2637,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000070_gene2752,AZRU01000070_gene2752,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000005_gene1430,AZRU01000005_gene1430,annotation&nbsp;not&nbsp;available,80.4
1437882.AZRU01000099_gene1111,AZRU01000099_gene1111,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000123_gene4906,AZRU01000123_gene4906,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000050_gene5301,AZRU01000050_gene5301,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000011_gene3602,AZRU01000011_gene3602,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000024_gene5764,AZRU01000024_gene5764,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000044_gene6634,AZRU01000044_gene6634,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000007_gene2981,AZRU01000007_gene2981,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000028_gene717,AZRU01000028_gene717,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000060_gene4104,AZRU01000060_gene4104,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000065_gene6897,AZRU01000065_gene6897,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000022_gene6310,AZRU01000022_gene6310,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000017_gene6465,AZRU01000017_gene6465,annotation&nbsp;not&nbsp;available,80.3
1437882.AZRU01000001_gene2177,AZRU01000001_gene2177,annotation&nbsp;not&nbsp;available,80.2
1437882.AZRU01000018_gene6514,argJ,Arginine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;ArgJ,80.2
1437882.AZRU01000002_gene2383,AZRU01000002_gene2383,annotation&nbsp;not&nbsp;available,80.2
1437882.AZRU01000034_gene428,AZRU01000034_gene428,annotation&nbsp;not&nbsp;available,80.2
1437882.AZRU01000030_gene191,fliA,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;FliA,80.2
1437882.AZRU01000127_gene5341,AZRU01000127_gene5341,annotation&nbsp;not&nbsp;available,80.2
1437882.AZRU01000056_gene3770,AZRU01000056_gene3770,annotation&nbsp;not&nbsp;available,80.2
1437882.AZRU01000003_gene1691,AZRU01000003_gene1691,annotation&nbsp;not&nbsp;available,80.1
1437882.AZRU01000060_gene4091,cheD,Probable&nbsp;chemoreceptor&nbsp;glutamine&nbsp;deamidase&nbsp;CheD,80.1
1437882.AZRU01000019_gene6049,fba,annotation&nbsp;not&nbsp;available,80.1
1437882.AZRU01000065_gene6879,AZRU01000065_gene6879,annotation&nbsp;not&nbsp;available,80.1
1437882.AZRU01000012_gene3472,trpE,Anthranilate&nbsp;synthase&nbsp;component&nbsp;1,80.1
1437882.AZRU01000021_gene6251,rsgA,Small&nbsp;ribosomal&nbsp;subunit&nbsp;biogenesis&nbsp;GTPase&nbsp;RsgA,80.1
1437882.AZRU01000065_gene6860,AZRU01000065_gene6860,annotation&nbsp;not&nbsp;available,80.1
1437882.AZRU01000018_gene6516,AZRU01000018_gene6516,annotation&nbsp;not&nbsp;available,80.1
1437882.AZRU01000034_gene450,AZRU01000034_gene450,annotation&nbsp;not&nbsp;available,80.0
1437882.AZRU01000119_gene4270,AZRU01000119_gene4270,annotation&nbsp;not&nbsp;available,80.0
1437882.AZRU01000070_gene2746,AZRU01000070_gene2746,annotation&nbsp;not&nbsp;available,80.0
1437882.AZRU01000033_gene480,AZRU01000033_gene480,annotation&nbsp;not&nbsp;available,80.0
1437882.AZRU01000065_gene6886,AZRU01000065_gene6886,annotation&nbsp;not&nbsp;available,80.0
1437882.AZRU01000030_gene147,AZRU01000030_gene147,annotation&nbsp;not&nbsp;available,80.0
1437882.AZRU01000080_gene3989,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,80.0
1437882.AZRU01000015_gene3407,AZRU01000015_gene3407,annotation&nbsp;not&nbsp;available,80.0
1437882.AZRU01000021_gene6209,hldE,Bifunctional&nbsp;protein&nbsp;HldE,79.9
1437882.AZRU01000005_gene1399,AZRU01000005_gene1399,annotation&nbsp;not&nbsp;available,79.9
1437882.AZRU01000022_gene6337,AZRU01000022_gene6337,annotation&nbsp;not&nbsp;available,79.9
1437882.AZRU01000014_gene3207,AZRU01000014_gene3207,annotation&nbsp;not&nbsp;available,79.9
1437882.AZRU01000013_gene6986,AZRU01000013_gene6986,annotation&nbsp;not&nbsp;available,79.9
1437882.AZRU01000001_gene2114,AZRU01000001_gene2114,annotation&nbsp;not&nbsp;available,79.9
1437882.AZRU01000072_gene4740,AZRU01000072_gene4740,annotation&nbsp;not&nbsp;available,79.9
1437882.AZRU01000001_gene2084,cysA,Sulfate/thiosulfate&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;CysA,79.9
1437882.AZRU01000041_gene4503,AZRU01000041_gene4503,annotation&nbsp;not&nbsp;available,79.9
1437882.AZRU01000048_gene5211,AZRU01000048_gene5211,annotation&nbsp;not&nbsp;available,79.8
1437882.AZRU01000057_gene4186,AZRU01000057_gene4186,annotation&nbsp;not&nbsp;available,79.8
1437882.AZRU01000019_gene6044,AZRU01000019_gene6044,annotation&nbsp;not&nbsp;available,79.8
1437882.AZRU01000024_gene5743,AZRU01000024_gene5743,annotation&nbsp;not&nbsp;available,79.8
1437882.AZRU01000035_gene326,AZRU01000035_gene326,annotation&nbsp;not&nbsp;available,79.8
1437882.AZRU01000004_gene1859,AZRU01000004_gene1859,annotation&nbsp;not&nbsp;available,79.8
1437882.AZRU01000063_gene680,AZRU01000063_gene680,annotation&nbsp;not&nbsp;available,79.8
1437882.AZRU01000065_gene6873,AZRU01000065_gene6873,annotation&nbsp;not&nbsp;available,79.7
1437882.AZRU01000030_gene130,AZRU01000030_gene130,annotation&nbsp;not&nbsp;available,79.7
1437882.AZRU01000079_gene3952,AZRU01000079_gene3952,annotation&nbsp;not&nbsp;available,79.7
1437882.AZRU01000024_gene5758,AZRU01000024_gene5758,annotation&nbsp;not&nbsp;available,79.7
1437882.AZRU01000012_gene3481,AZRU01000012_gene3481,annotation&nbsp;not&nbsp;available,79.7
1437882.AZRU01000030_gene136,AZRU01000030_gene136,annotation&nbsp;not&nbsp;available,79.7
1437882.AZRU01000001_gene2236,AZRU01000001_gene2236,annotation&nbsp;not&nbsp;available,79.6
1437882.AZRU01000004_gene1825,AZRU01000004_gene1825,annotation&nbsp;not&nbsp;available,79.6
1437882.AZRU01000038_gene5502,AZRU01000038_gene5502,annotation&nbsp;not&nbsp;available,79.6
1437882.AZRU01000007_gene3018,AZRU01000007_gene3018,annotation&nbsp;not&nbsp;available,79.6
1437882.AZRU01000103_gene3890,secE,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecE,79.6
1437882.AZRU01000057_gene4234,AZRU01000057_gene4234,annotation&nbsp;not&nbsp;available,79.6
1437882.AZRU01000050_gene5290,AZRU01000050_gene5290,annotation&nbsp;not&nbsp;available,79.6
1437882.AZRU01000043_gene4818,arnD,Probable&nbsp;4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol&nbsp;deformylase&nbsp;ArnD,79.5
1437882.AZRU01000014_gene3141,AZRU01000014_gene3141,annotation&nbsp;not&nbsp;available,79.5
1437882.AZRU01000211_gene2551,AZRU01000211_gene2551,annotation&nbsp;not&nbsp;available,79.5
1437882.AZRU01000042_gene4582,AZRU01000042_gene4582,annotation&nbsp;not&nbsp;available,79.5
1437882.AZRU01000025_gene5859,cobO,"Cob(I)yrinic&nbsp;acid&nbsp;a,c-diamide&nbsp;adenosyltransferase",79.5
1437882.AZRU01000051_gene5390,AZRU01000051_gene5390,Peptidyl-prolyl&nbsp;cis-trans&nbsp;isomerase,79.5
1437882.AZRU01000076_gene1143,AZRU01000076_gene1143,annotation&nbsp;not&nbsp;available,79.5
1437882.AZRU01000003_gene1743,AZRU01000003_gene1743,annotation&nbsp;not&nbsp;available,79.5
1437882.AZRU01000133_gene6705,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,79.4
1437882.AZRU01000040_gene4680,AZRU01000040_gene4680,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000054_gene3718,AZRU01000054_gene3718,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000014_gene3220,AZRU01000014_gene3220,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000001_gene2011,argB,Acetylglutamate&nbsp;kinase,79.4
1437882.AZRU01000047_gene5104,AZRU01000047_gene5104,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000005_gene1387,AZRU01000005_gene1387,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000010_gene600,AZRU01000010_gene600,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000017_gene6400,leuS,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000041_gene4495,AZRU01000041_gene4495,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000008_gene2875,AZRU01000008_gene2875,annotation&nbsp;not&nbsp;available,79.4
1437882.AZRU01000001_gene2007,xth,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000096_gene1074,AZRU01000096_gene1074,L-threonine&nbsp;aldolase,79.3
1437882.AZRU01000130_gene6802,AZRU01000130_gene6802,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000113_gene4972,AZRU01000113_gene4972,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000011_gene3588,AZRU01000011_gene3588,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000011_gene3646,AZRU01000011_gene3646,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000030_gene152,fliE,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000106_gene6579,galU,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000211_gene2681,AZRU01000211_gene2681,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000061_gene4037,AZRU01000061_gene4037,Flagellar&nbsp;M-ring&nbsp;protein,79.3
1437882.AZRU01000004_gene1915,AZRU01000004_gene1915,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000047_gene5073,AZRU01000047_gene5073,annotation&nbsp;not&nbsp;available,79.3
1437882.AZRU01000005_gene1306,AZRU01000005_gene1306,annotation&nbsp;not&nbsp;available,79.2
1437882.AZRU01000047_gene5086,AZRU01000047_gene5086,annotation&nbsp;not&nbsp;available,79.2
1437882.AZRU01000048_gene5172,AZRU01000048_gene5172,annotation&nbsp;not&nbsp;available,79.2
1437882.AZRU01000093_gene1263,AZRU01000093_gene1263,annotation&nbsp;not&nbsp;available,79.1
1437882.AZRU01000004_gene1949,AZRU01000004_gene1949,annotation&nbsp;not&nbsp;available,79.1
1437882.AZRU01000016_gene3266,AZRU01000016_gene3266,annotation&nbsp;not&nbsp;available,79.1
1437882.AZRU01000072_gene4730,AZRU01000072_gene4730,annotation&nbsp;not&nbsp;available,79.0
1437882.AZRU01000051_gene5395,himD,Integration&nbsp;host&nbsp;factor&nbsp;subunit&nbsp;beta,79.0
1437882.AZRU01000044_gene6625,lysS,annotation&nbsp;not&nbsp;available,79.0
1437882.AZRU01000069_gene2777,AZRU01000069_gene2777,annotation&nbsp;not&nbsp;available,79.0
1437882.AZRU01000038_gene5503,gloA,annotation&nbsp;not&nbsp;available,79.0
1437882.AZRU01000025_gene5875,AZRU01000025_gene5875,annotation&nbsp;not&nbsp;available,79.0
1437882.AZRU01000211_gene2572,AZRU01000211_gene2572,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000084_gene6771,fadB,Fatty&nbsp;acid&nbsp;oxidation&nbsp;complex&nbsp;subunit&nbsp;alpha,78.9
1437882.AZRU01000039_gene4655,AZRU01000039_gene4655,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000005_gene1389,AZRU01000005_gene1389,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000095_gene1254,AZRU01000095_gene1254,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000168_gene1222,AZRU01000168_gene1222,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000009_gene895,tig,Trigger&nbsp;factor,78.9
1437882.AZRU01000135_gene1133,AZRU01000135_gene1133,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000069_gene2778,hisC,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000063_gene671,ureB,annotation&nbsp;not&nbsp;available,78.9
1437882.AZRU01000009_gene898,AZRU01000009_gene898,Lon&nbsp;protease,78.8
1437882.AZRU01000045_gene4754,AZRU01000045_gene4754,annotation&nbsp;not&nbsp;available,78.8
1437882.AZRU01000016_gene3343,AZRU01000016_gene3343,annotation&nbsp;not&nbsp;available,78.8
1437882.AZRU01000001_gene2170,AZRU01000001_gene2170,annotation&nbsp;not&nbsp;available,78.8
1437882.AZRU01000036_gene301,AZRU01000036_gene301,annotation&nbsp;not&nbsp;available,78.8
1437882.AZRU01000010_gene563,dapA,4-hydroxy-tetrahydrodipicolinate&nbsp;synthase,78.8
1437882.AZRU01000065_gene6889,AZRU01000065_gene6889,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000185_gene5632,AZRU01000185_gene5632,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000040_gene4716,AZRU01000040_gene4716,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000050_gene5326,AZRU01000050_gene5326,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000052_gene3824,AZRU01000052_gene3824,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000001_gene2142,AZRU01000001_gene2142,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,78.7
1437882.AZRU01000048_gene5163,AZRU01000048_gene5163,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000013_gene6909,AZRU01000013_gene6909,Peptide&nbsp;deformylase,78.7
1437882.AZRU01000033_gene494,pyrD,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),78.7
1437882.AZRU01000087_gene5602,AZRU01000087_gene5602,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000008_gene2865,AZRU01000008_gene2865,annotation&nbsp;not&nbsp;available,78.7
1437882.AZRU01000105_gene3426,AZRU01000105_gene3426,annotation&nbsp;not&nbsp;available,78.6
1437882.AZRU01000021_gene6247,AZRU01000021_gene6247,annotation&nbsp;not&nbsp;available,78.6
1437882.AZRU01000041_gene4476,AZRU01000041_gene4476,annotation&nbsp;not&nbsp;available,78.6
1437882.AZRU01000212_gene997,AZRU01000212_gene997,annotation&nbsp;not&nbsp;available,78.6
1437882.AZRU01000008_gene2837,AZRU01000008_gene2837,annotation&nbsp;not&nbsp;available,78.6
1437882.AZRU01000001_gene2092,AZRU01000001_gene2092,annotation&nbsp;not&nbsp;available,78.6
1437882.AZRU01000092_gene1287,AZRU01000092_gene1287,Formyltetrahydrofolate&nbsp;deformylase,78.6
1437882.AZRU01000009_gene979,AZRU01000009_gene979,annotation&nbsp;not&nbsp;available,78.6
1437882.AZRU01000007_gene3038,AZRU01000007_gene3038,annotation&nbsp;not&nbsp;available,78.6
